Adrastea
Amalthea
Ananke
Ariel
Atlas
Belinda
Bianca
Caliban
Callirrhoe
Callisto
Calypso
Carme
Chaldene
Charon
Cordelia
Cressida
Deimos
Desdemona
Despina
Dione
Earth
Elara
Enceladus
Epimetheus
Erinome
Europa
Galatea
Ganymede
Harpalyke
Helene
Himalia
Hydra
Hyperion
Iapetus
Io
Iocaste
Isonoe
Janus
Juliet
Jupiter
Kalyke
Larissa
Leda
Lysithea
Mars
Megaclite
Mercury
Metis
Mimas
Miranda
Moon
Naiad
Neptune
Nereid
Nix
Oberon
Ophelia
Pan
Pandora
Pasiphae
Phobos
Phoebe
Pluto
Portia
Praxidike
Prometheus
Prospero
Proteus
Puck
Rhea
Rosalind
Saturn
Setebos
Sinope
Stephano
Sun
Sycorax
Taygete
Telesto
Tethys
Thalassa
Thebe
Themisto
Titan
Titania
Trinculo
Triton
Umbriel
Uranus
Venus
